index,genre,popularity,tracks
1,A Capella,0_to_10,82
2,Alternative,0_to_10,25
3,Anime,0_to_10,25
4,Blues,0_to_10,25
5,Children's Music,0_to_10,25
6,Classical,0_to_10,1363
7,Comedy,0_to_10,368
8,Country,0_to_10,65
9,Dance,0_to_10,111
10,Electronic,0_to_10,55
11,Folk,0_to_10,9
12,Hip-Hop,0_to_10,0
13,Indie,0_to_10,2
14,Jazz,0_to_10,171
15,Movie,0_to_10,4470
16,Opera,0_to_10,3729
17,Pop,0_to_10,1
18,R&B,0_to_10,8
19,Rap,0_to_10,0
20,Reggae,0_to_10,92
21,Reggaeton,0_to_10,9
22,Rock,0_to_10,10
23,Ska,0_to_10,3
24,Soul,0_to_10,36
25,Soundtrack,0_to_10,107
26,World,0_to_10,54
1,A Capella,10_to_20,37
2,Alternative,10_to_20,3
3,Anime,10_to_20,3
4,Blues,10_to_20,3
5,Children's Music,10_to_20,3
6,Classical,10_to_20,338
7,Comedy,10_to_20,4844
8,Country,10_to_20,13
9,Dance,10_to_20,7
10,Electronic,10_to_20,50
11,Folk,10_to_20,5
12,Hip-Hop,10_to_20,4
13,Indie,10_to_20,9
14,Jazz,10_to_20,47
15,Movie,10_to_20,1602
16,Opera,10_to_20,3622
17,Pop,10_to_20,3
18,R&B,10_to_20,9
19,Rap,10_to_20,4
20,Reggae,10_to_20,197
21,Reggaeton,10_to_20,507
22,Rock,10_to_20,2
23,Ska,10_to_20,2174
24,Soul,10_to_20,14
25,Soundtrack,10_to_20,113
26,World,10_to_20,131
1,A Capella,20_to_30,12
2,Alternative,20_to_30,12
3,Anime,20_to_30,12
4,Blues,20_to_30,12
5,Children's Music,20_to_30,12
6,Classical,20_to_30,2483
7,Comedy,20_to_30,3577
8,Country,20_to_30,20
9,Dance,20_to_30,23
10,Electronic,20_to_30,1911
11,Folk,20_to_30,12
12,Hip-Hop,20_to_30,11
13,Indie,20_to_30,13
14,Jazz,20_to_30,454
15,Movie,20_to_30,1078
16,Opera,20_to_30,1208
17,Pop,20_to_30,14
18,R&B,20_to_30,20
19,Rap,20_to_30,11
20,Reggae,20_to_30,2889
21,Reggaeton,20_to_30,2659
22,Rock,20_to_30,17
23,Ska,20_to_30,3712
24,Soul,20_to_30,41
25,Soundtrack,20_to_30,3303
26,World,20_to_30,2729
1,A Capella,30_to_40,1
2,Alternative,30_to_40,76
3,Anime,30_to_40,76
4,Blues,30_to_40,76
5,Children's Music,30_to_40,76
6,Classical,30_to_40,3864
7,Comedy,30_to_40,1273
8,Country,30_to_40,2557
9,Dance,30_to_40,21
10,Electronic,30_to_40,4218
11,Folk,30_to_40,782
12,Hip-Hop,30_to_40,15
13,Indie,30_to_40,53
14,Jazz,30_to_40,4127
15,Movie,30_to_40,644
16,Opera,30_to_40,379
17,Pop,30_to_40,15
18,R&B,30_to_40,477
19,Rap,30_to_40,12
20,Reggae,30_to_40,3355
21,Reggaeton,30_to_40,2786
22,Rock,30_to_40,32
23,Ska,30_to_40,2203
24,Soul,30_to_40,1994
25,Soundtrack,30_to_40,4638
26,World,30_to_40,4008
1,A Capella,40_to_50,1
2,Alternative,40_to_50,2665
3,Anime,40_to_50,2665
4,Blues,40_to_50,2665
5,Children's Music,40_to_50,2665
6,Classical,40_to_50,1544
7,Comedy,40_to_50,349
8,Country,40_to_50,3863
9,Dance,40_to_50,1710
10,Electronic,40_to_50,2751
11,Folk,40_to_50,4793
12,Hip-Hop,40_to_50,1437
13,Indie,40_to_50,2803
14,Jazz,40_to_50,3686
15,Movie,40_to_50,283
16,Opera,40_to_50,83
17,Pop,40_to_50,14
18,R&B,40_to_50,3762
19,Rap,40_to_50,567
20,Reggae,40_to_50,1907
21,Reggaeton,40_to_50,1894
22,Rock,40_to_50,526
23,Ska,40_to_50,1075
24,Soul,40_to_50,4259
25,Soundtrack,40_to_50,1797
26,World,40_to_50,2011
1,A Capella,50_to_60,0
2,Alternative,50_to_60,4912
3,Anime,50_to_60,4912
4,Blues,50_to_60,4912
5,Children's Music,50_to_60,4912
6,Classical,50_to_60,344
7,Comedy,50_to_60,25
8,Country,50_to_60,2039
9,Dance,50_to_60,4000
10,Electronic,50_to_60,951
11,Folk,50_to_60,3133
12,Hip-Hop,50_to_60,4877
13,Indie,50_to_60,4938
14,Jazz,50_to_60,1283
15,Movie,50_to_60,71
16,Opera,50_to_60,10
17,Pop,50_to_60,1610
18,R&B,50_to_60,3281
19,Rap,50_to_60,4638
20,Reggae,50_to_60,843
21,Reggaeton,50_to_60,1020
22,Rock,50_to_60,5000
23,Ska,50_to_60,347
24,Soul,50_to_60,2379
25,Soundtrack,50_to_60,411
26,World,50_to_60,619
1,A Capella,60_to_70,0
2,Alternative,60_to_70,1945
3,Anime,60_to_70,1945
4,Blues,60_to_70,1945
5,Children's Music,60_to_70,1945
6,Classical,60_to_70,63
7,Comedy,60_to_70,1
8,Country,60_to_70,698
9,Dance,60_to_70,2437
10,Electronic,60_to_70,201
11,Folk,60_to_70,1102
12,Hip-Hop,60_to_70,2785
13,Indie,60_to_70,2062
14,Jazz,60_to_70,217
15,Movie,60_to_70,53
16,Opera,60_to_70,2
17,Pop,60_to_70,5535
18,R&B,60_to_70,1461
19,Rap,60_to_70,3334
20,Reggae,60_to_70,198
21,Reggaeton,60_to_70,466
22,Rock,60_to_70,3411
23,Ska,60_to_70,77
24,Soul,60_to_70,768
25,Soundtrack,60_to_70,64
26,World,60_to_70,145
1,A Capella,70_to_80,0
2,Alternative,70_to_80,313
3,Anime,70_to_80,313
4,Blues,70_to_80,313
5,Children's Music,70_to_80,313
6,Classical,70_to_80,0
7,Comedy,70_to_80,0
8,Country,70_to_80,141
9,Dance,70_to_80,824
10,Electronic,70_to_80,26
11,Folk,70_to_80,162
12,Hip-Hop,70_to_80,847
13,Indie,70_to_80,263
14,Jazz,70_to_80,13
15,Movie,70_to_80,4
16,Opera,70_to_80,0
17,Pop,70_to_80,2381
18,R&B,70_to_80,415
19,Rap,70_to_80,1149
20,Reggae,70_to_80,23
21,Reggaeton,70_to_80,183
22,Rock,70_to_80,864
23,Ska,70_to_80,12
24,Soul,70_to_80,122
25,Soundtrack,70_to_80,2
26,World,70_to_80,10
1,A Capella,80_to_90,0
2,Alternative,80_to_90,21
3,Anime,80_to_90,21
4,Blues,80_to_90,21
5,Children's Music,80_to_90,21
6,Classical,80_to_90,0
7,Comedy,80_to_90,0
8,Country,80_to_90,3
9,Dance,80_to_90,147
10,Electronic,80_to_90,2
11,Folk,80_to_90,7
12,Hip-Hop,80_to_90,134
13,Indie,80_to_90,27
14,Jazz,80_to_90,0
15,Movie,80_to_90,1
16,Opera,80_to_90,0
17,Pop,80_to_90,415
18,R&B,80_to_90,56
19,Rap,80_to_90,189
20,Reggae,80_to_90,0
21,Reggaeton,80_to_90,55
22,Rock,80_to_90,63
23,Ska,80_to_90,0
24,Soul,80_to_90,5
25,Soundtrack,80_to_90,0
26,World,80_to_90,0
1,A Capella,90_to_100,0
2,Alternative,90_to_100,0
3,Anime,90_to_100,0
4,Blues,90_to_100,0
5,Children's Music,90_to_100,0
6,Classical,90_to_100,0
7,Comedy,90_to_100,0
8,Country,90_to_100,0
9,Dance,90_to_100,25
10,Electronic,90_to_100,1
11,Folk,90_to_100,0
12,Hip-Hop,90_to_100,16
13,Indie,90_to_100,1
14,Jazz,90_to_100,0
15,Movie,90_to_100,0
16,Opera,90_to_100,0
17,Pop,90_to_100,52
18,R&B,90_to_100,2
19,Rap,90_to_100,24
20,Reggae,90_to_100,7
21,Reggaeton,90_to_100,0
22,Rock,90_to_100,2
23,Ska,90_to_100,0
24,Soul,90_to_100,0
25,Soundtrack,90_to_100,0
26,World,90_to_100,0
1,A Capella,All,119
2,Alternative,All,8716
3,Anime,All,8716
4,Blues,All,8716
5,Children's Music,All,8716
6,Classical,All,9193
7,Comedy,All,9258
8,Country,All,8247
9,Dance,All,8065
10,Electronic,All,8958
11,Folk,All,8793
12,Hip-Hop,All,8837
13,Indie,All,8785
14,Jazz,All,8759
15,Movie,All,7624
16,Opera,All,8156
17,Pop,All,8727
18,R&B,All,8162
19,Rap,All,8713
20,Reggae,All,8295
21,Reggaeton,All,8171
22,Rock,All,8763
23,Ska,All,8515
24,Soul,All,8304
25,Soundtrack,All,9359
26,World,All,8411
